"","listing_id","reviewer_id","review_id","date","rating","reviewHighlight","comments"
"1","1687330",424862867,"463737695212351046",3,5,"Stayed with kids","Christine and Jonathan are incredible. They were very quick to respond with any questions. Their place is very clean and comfortable and has everything you could need. The apartment is near to some good Asian restaurants. The apartment itself is in a quiet and calm neighborhood."
"2","21334",32876230,"463748565879075733",3,4,"Stayed over a week","This place is pure magic, straight out of a mystery novel. While it was not the most cleanly, it has bountiful charm in all its secret nooks and knickknacks. Joe himself is very kind, accommodating, and helpful.<br/>Choose this place if you want to add to the enigmatic history of a well-loved wooden loft. Note that the hill is super steep to get to the front door and, once inside, the ladder to the bed is not for the inflexible. If you don't mind a very lived-in space, give Joe's place a try. The view out the back window is also beautiful. Feels like living in some treehouse-schooner-cabin. I especially recommend if you're a creative solo traveler looking for some atmospheric inspiration."
"3","14298138",176223515,"463752517962871967",3,5,"Stayed a few nights","If you are looking for a great place to stay that’s private, cozy and has all you need for a quick trip, this is your place. 5 stars"
"4","7930461",423240460,"463759708794274838",3,5,"Stayed a few nights","A nice private room with a outside space all to yourself! It was much better than staying in a hotel and was more comfortable for us as a couple:) I would recommend staying here!"
"5","774323",3030620,"463765116024727770",3,5,"Stayed over a week","Jan is awesome, the place is awesome, the location is awesome. Just book it."
"6","1944564",307185482,"463768668197533144",3,5,"Stayed a few nights","What a unique experience staying in the loft! It is located at the top of a spiral staircase that starts in the art studio. We loved being able to glimpse into an artist's workspace from the windows of the loft.<br/>The space is very attractive, spacious and clean. Definitely a lot to enjoy within the loft with the furniture pieces, fine art, reclaimed bowling alley wood, a comfortable bed, great shower and garden views.<br/>The location worked well for exploring all the street art in the Mission District and the restaurants. There is a super nice grocery store one block away, Gus's.<br/>Florencia gave us great tips on restaurants nearby as well as how everything worked in the loft.<br/>We will long remember our stay here!"
"7","4887475",68043703,"463776148026953504",3,5,"Stayed a few nights","A really nice hostel, the ballroom is great, it is so easy to meet new people there and it's super comfy. Also the location is perfect to explore San Francisco."
"8","1323983",404576146,"463777320914696768",3,5,"Stayed a few nights","Both Ashish and Cesar were excellent hosts and communicated well prior to my arrival as well as during. The location is very convenient to public transportation as well as many nearby restaurants. I would highly recommend!"
"9","1870059",13159869,"463782322904563877",3,5,"Stayed over a week","La Casita was exactly as advertised and exactly what we needed. Great location, beautiful backyard space to work outside, very close to SJSU and friendly, helpful owner to deal with. 5 star."
"10","409549",205918499,"463786588492284323",3,5,"Stayed a few nights","The accommodations were excellent as stated.  The location was central to the great cafe's and coffee shops in Bernal Heights. We truly enjoyed it."
"11","18285416",422228133,"463789787680416127",3,5,"Stayed over a week","Communication with Angelique was amazing! Her accommodation of me was also amazing! I recommend!"
"12","115242",229465449,"463793878013043090",3,5,"Stayed over a week","This is our second stay at Dawn’s apartment since 2019.  The location near Pier 39 is excellent.  The bus and Streetcar stops are located nearby.  The view of the Bay from the living room is outstanding."
"13","1299759",126666559,"463796802996449539",3,5,"Stayed over a week","Amazing place, did not have a single issue. I would recommend 100%"
"14","394575",424619558,"463799067276926613",3,4,"Stayed a few nights","Good value spot."
"15","4250927",6947439,"463801047868136715",3,5,"Stayed over a week","My husband and I loved staying in this gorgeous home in Noe Valley. We were there for a month and found it super easy to work from home and to get around town. The space is really stunning with huge sliding glass doors that open to a lovely back yard. The kitchen was a dream to cook in - literally anything you needed to cook was in that kitchen! We loved walking into town for baked goods at Noe Valley Bakery or coffee at Martha & Bros. We walked up to the Mission a bunch of times and got our nature fix at nearby Billy Goat Hill and Glen Canyon Park. The house is truly in a great location. Also cannot say enough nice things about the hosts, Andy and Tanya. They were a joy to communicate with!"
